search_query,title,company,location,description,posted_at,posted_date,apply_links
software engineer,C++ Software Engineer - Automation & AI (F/M/D),Siemens Digital Industries Software,United States,"We are Siemens

To create a better future, you need to think outside the box. That’s why we at Siemens need innovators who aren’t afraid to push boundaries to join our diverse team of tech gurus. Got what it takes? Then help us create lasting, positive impact!

Siemens Digital Industries Software is a leading provider of solutions for the design, simulation and manufacture of products across many different industries. Formula 1 cars, skyscrapers, ships, space exploration vehicles, and many of th...",6 days ago,2024-11-15,Careers | Siemens Digital Industries Software - Siemens: https://jobs.sw.siemens.com/usa/c-software-engineer-automation-ai-fmd/F1C9401B67F84AFF80E0CD0ADE848641/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=6b068f0ab90b34a1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Upwork: https://www.upwork.com/freelance-jobs/apply/Engineer-for-Email-Automation-with-Human-Escalation-Alerts_~021859410604101639481/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/mist-ai-automation-engineer-with-heavy-juniper-experience-at-world-wide-technology-4062737871?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Siemens Digital Industries Software Jobs: https://sw-siemens.dejobs.org/virtual-usa/c-software-engineer-automation-ai-fmd/DA5E6CDF4C4741CFAEBF8371E984A2B6/job/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobilize: https://www.jobilize.com/job/us-solutions-engineer-picco-ai-automation-pioneer-square-labs-hiring?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Software Engineer Specialist,FIS Management Services LLC,United States,"Job Description We are FIS. Our technology powers the world’s economy and our teams bring innovation to life. We champion diversity to deliver the best products and solutions for our colleagues, clients and communities. If you’re ready to start learning, growing and making an impact with a career in fintech, we’d like to know: Are you FIS? About the role: As a Cobol Software Engineer you will work with banking technology as you build innovative fintech products that change the way the world pays...",4 days ago,2024-11-17,Workday: https://fis.wd5.myworkdayjobs.com/searchjobs/job/US-IL-Virtual/Software-Engineer-Specialist_JR0286464?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | EchoJobs: https://echojobs.io/job/fis-software-engineer-specialist-biller-iq-6tzdn?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jora: https://us.jora.com/job/Software-Engineer-Specialist-38a76f0e06120fbad7380ba659968c9e?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Sr. Software Engineer (Full Stack),McGraw Hill LLC.,United States,"Overview

Impact the Moment

Do you enjoy testing the limits of possibility? At McGraw Hill, our Sr. Software Engineers (Full Stack) drive progress and help build the future of learning. If you have the passion and technical expertise to thrive in an innovative and agile environment, we want to learn more about you.

McGraw Hill Connect is a course management and adaptive learning solution that enables millions of learners to achieve their full potential. In this role, you will be expanding Conn...",N/A,N/A,"McGraw Hill Careers: https://careers.mheducation.com/jobs/4719?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/Oncora-Medical/Job/Software-Engineer-(Full-Stack)/-in-Philadelphia,PA?jid=183a107ad57d347c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | VentureLoop: https://www.ventureloop.com/ventureloop/jobdetail.php?jobid=2740847&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Built In: https://builtin.com/job/software-engineer-full-stack/2397982?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/senior-lead-software-engineer-full-stack-at-chronograph-3997293442?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | National Labor Exchange Veterans Jobs: https://veterans.usnlx.com/usa-usa/software-engineer-4-full-stack/52535EF58BB8461FA19D5EB5CA5C0273/job/?vs=28&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LazyApply: https://lazyapply.com/jobpreview/job_07d6ff0bbc782af0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobgether: https://jobgether.com/offer/67384bbdd0e293d41102b425-software-engineer-full-stack-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,"Software Engineer, Backend - FedRAMP - 31023",Splunk,Colorado,"Splunk is here to build a safer and more resilient digital world. The world's leading enterprises use our unified security and observability platform to keep their digital systems secure and reliable. While customers love our technology, it's our people that make Splunk stand out as an amazing career destination and why we've won so many awards as a best place to work. If you become a Splunker, we want your whole, authentic self, what we call your ""million data points"". So bring your work experi...",14 days ago,2024-11-07,Splunk: https://www.splunk.com/en_us/careers/jobs/software-engineer-backend-fedramp-31023.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Dice.com: https://www.dice.com/job-detail/66d505c6-e467-43ac-910c-49ac6fbdeac5?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Software Engineer IV - Full Stack Development,SPECTRUM,"Greenwood Village, CO","Spectrum’s Product and Technology team creates, develops, and operates the nation’s fastest mobile service, most reliable Internet service, most viewed live TV app, and the most advanced WiFi, serving millions of users and devices. We are transforming the next era of connectivity and entertainment experiences. Our goal in the Software Development Information Technology organization is to help Spectrum succeed by securely and rapidly delivering the best and most efficient technology in support of...",7 days ago,2024-11-14,Spectrum Careers: https://jobs.spectrum.com/job/greenwood-village/software-engineer-iv-full-stack-development/4673/69876967824?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Lensa: https://lensa.com/job-v1/charter-communications/greenwood-village-co/software-engineer-iv-full-stack-development/306bf746aa4fd5e9266dcb60478c46e3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Enable America: https://enableamerica.dejobs.org/greenwood-village-co/software-engineer-iv-full-stack-development/0E78330F48544AF4889AD42058D5E1C2/job/?utm_campaign=.JOBS+Sitemap+Feed&utm_source=.JOBS+Sitemap+Feed-DE&utm_medium=.JOBS+Universe&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Broadband Nation: https://jobs.broadbandnation.org/job/259532/software-engineer-iv-full-stack-development/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Metro Chicago Jobs: https://www.metrochicagojobs.com/job/detail/80958993/Software-Engineer-IV-Full-Stack-Development?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Learn4Good: https://www.learn4good.com/jobs/greenwood-village/colorado/software_development/3676708320/e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,"Software Engineer Senior, Space Protection Programs",Lockheed Martin,"Littleton, CO","Description:Space is a critical domain, connecting our technologies, our security and our humanity. While others view space as a destination, we see it as a realm of possibilities, where we can do more — we can innovate, invest, inspire and integrate our capabilities to transform the future.

At Lockheed Martin Space, we aim to harness the full potential of space to cultivate innovation, reduce costs, and push the boundaries of what technology can achieve. We’re creating future-ready solutions, ...",4 days ago,2024-11-17,"Lockheed Martin: https://www.lockheedmartinjobs.com/job/littleton/software-engineer-senior-space-protection-programs/694/73164155552?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | JSfirm.com: https://www.jsfirm.com/Engineering/Space+Protection+Programs+Software+Systems+Engineer+Staff/Littleton-Colorado/jobID_1460851?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/software-engineer-senior-space-protection-programs-at-lockheed-martin-4077507786?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=91c769c67c9f3e6b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/Lockheed-Martin/Job/Software-Engineer-Senior,-Space-Protection-Programs/-in-Littleton,CO?jid=9f5ce1f89ceaec55&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Cleared Careers: https://clearedcareers.com/job/564756/space-protection-programs-software-systems-engineer-staff/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Snagajob: https://www.snagajob.com/jobs/1017815571?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Clearance Jobs: https://www.clearancejobs.com/jobs/8060822/software-engineer-senior-space-protection-programs?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,Software Engineer II / Embedded Software Engineer,Arcfield,"Louisville, CO","Overview

Arcfield was purpose-built to protect the nation and its allies through innovations in digital transformation, space mission engineering and launch assurance, miniaturized sensors and satellites, advanced modeling and simulation, cybersecurity, and conventional and hypersonic missile support. Headquartered in Chantilly, VA with 16 global offices, Arcfield employs more than 1,500 engineers, analysts, IT specialists, and other professionals with more than 60 years of collective proven ex...",N/A,N/A,Arcfield Careers: https://careers.arcfield.com/careers-home/jobs/5924?lang=en-us&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/software-engineer-ii-embedded-software-engineer-at-arcfield-4037379848?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Local Job Network: https://jobs.localjobnetwork.com/job/detail/81099398/Software-Engineer-II-Embedded-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Cleared Connections: https://www.clearedconnections.com/jobs/250831-403018/Software-Engineer-II-Embedded-Software-Engineer-Arcfield-Louisville-CO-United-States?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Monster: https://www.monster.com/job-openings/software-engineer-ii-embedded-software-engineer-louisville-co--24c21258-a619-4af1-903a-66f4f6f26641?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Diversity Jobs: https://diversityjobs.com/career/9497582/Software-Engineer-Ii-Embedded-Software-Engineer-Colorado-Louisville?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Milwaukee Jobs: https://www.milwaukeejobs.com/job/detail/81099398/Software-Engineer-II-Embedded-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Recruit.net: https://www.recruit.net/job/software-engineer-embedded-software-engineer-jobs/4EB2A0A1B28B1309?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Software Engineering Internship - Summer 2025,United Launch Alliance,"Centennial, CO","At ULA, success comes through the efforts of a strong, united team.

Thanks for your interest in United Launch Alliance, the world's most experienced and reliable space launch company! Successfully launching more than 150 consecutive missions doesn’t just happen. It’s credit to the commitment of our 2,500 team members and the systems and processes we use to pull them together.

As a ULA intern, you’ll gain real-world work experience and exposure to life at the nation’s premier space launch compa...",22 days ago,2024-10-30,"Careers - United Launch Alliance: https://jobs.ulalaunch.com/job/Centennial-Software-Engineering-Internship-Summer-2025-CO-80112/1208891100/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=87c8fe2279d2fd5e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Glassdoor: https://www.glassdoor.com/job-listing/software-engineering-internship-summer-2025-united-launch-alliance-JV_IC1164284_KO0,43_KE44,66.htm?jl=1009432535789&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | MilwaukeeJobs.com: https://www.milwaukeejobs.com/job/detail/81038136/Software-Engineering-Internship-Summer-2025?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Local Job Network: https://jobs.localjobnetwork.com/j/t-Software-Engineering-Internship-Summer-2025-e-United-Launch-Alliance-l-Centennial,-CO-jobs-j81038136.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Metro Atlanta Jobs.com: https://www.metroatlantajobs.com/j/t-Software-Engineering-Internship-Summer-2025-e-United-Launch-Alliance-l-Centennial,-CO-jobs-j81038136.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,Secret Software Engineer,Actalent,"Colorado Springs, CO","Secret Software Engineer

Job Description

You will be responsible for designing, developing, and implementing both frontend and backend software for a complex web application. Your tasks will include translating software requirements into functional and maintainable solutions within existing application frameworks, managing the entire software development process from conception to deployment, maintaining and upgrading software post-deployment, and overseeing the end-to-end lifecycle of softwar...",7 days ago,2024-11-14,Actalent Careers: https://careers.actalentservices.com/us/en/job/JP-004891117/Secret-Software-Engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Talentify: https://www.talentify.io/job/secret-software-engineer-colorado-springs-colorado-us-talentify-jp-004891117?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Recruiter.com: https://jobs.recruiter.com/jobs/11734973865-secret-software-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Adzuna: https://www.adzuna.com/details/4941683246?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | TechCareers: https://www.techcareers.com/jobs/secret-software-engineer-colorado-springs-co-80932-2790502661-job.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | BeBee: https://us.bebee.com/job/fec4c8408fc35ec6907c7319b26b3476?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Recruit.net: https://www.recruit.net/job/secret-software-engineer-jobs/BB5D76C2FD3B7E3D?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | WhatJobs: https://www.whatjobs.com/job/Secret-Software-Engineer/colorado-springs-colorado/1783014191?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Software Engineer - Clearance required,Lockheed Martin,"Hanover, MD","Description:This position may be eligible for a $25K sign on bonus for external hires!

What We’re Doing:
Lockheed Martin, Cyber & Intelligence invites you to step up to one of today’s most daunting challenges: the use of advanced electronics to undermine our way of life. As a cyber security professional at Lockheed Martin, you’ll protect the networks that our citizens and the world depend upon each minute: Financial assets. Healthcare information. Critical infrastructure. Hazardous materials. T...",N/A,N/A,"Lockheed Martin: https://www.lockheedmartinjobs.com/job/hanover/software-engineer-clearance-required/694/71260880880?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/Lockheed-Martin/Job/Software-Engineer-Clearance-Required/-in-Hanover,MD?jid=3960123fcbcd9d4d&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=f6648a883e7415f6&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Cleared Careers: https://clearedcareers.com/job/564743/software-engineer-clearance-required/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jooble: https://jooble.org/jdp/-104365912641478088?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ClearedJobs.Net: https://clearedjobs.net/job/software-engineer-clearance-required-hanover-maryland-1650612?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Ladders: https://www.theladders.com/job/software-engineer-clearance-required-lockheedmartin-hanover-md_78413656?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Recruit.net: https://www.recruit.net/job/software-engineer-clearance-jobs/E26A36460A4B89FD?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,Software Engineer Jobs,VTG,"Bethesda, MD","Overview

Position Overview: VTG is seeking a talented and experienced Software Engineer to join our dynamic and innovative team in multiple locations across D.C Metro Area. As a Software Engineer, you work closely with cross functional teams, including product managers and fellow engineers. You will contribute to the entire software development lifecycle, from ideation to deployment.

What will you do?
• Collaborate with product managers and stakeholders to gather and analyze software requireme...",7 days ago,2024-11-14,Clearance Jobs: https://www.clearancejobs.com/jobs/7386986/software-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Embedded Software Engineer,ETAJ Engineering Solutions,"Washington, DC","Exciting Opportunity for an Embedded Software Engineer (Senior/Principal Embedded Networking Engineer)-Aerospace/Defense industry in Autonomous Systems

Job Overview

We are seeking a seasoned Embedded Software Engineer to serve as a Senior or Principal Embedded Networking Engineer, focusing on high-speed embedded communication networks. In this role, you’ll develop and implement cutting-edge networking solutions for autonomous vehicles used in critical aerospace and defense applications. Your e...",15 days ago,2024-11-06,"LinkedIn: https://www.linkedin.com/jobs/view/embedded-software-engineer-at-etaj-engineering-solutions-4066419160?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Smart Recruiters Jobs: https://jobs.smartrecruiters.com/ExcylInc/743999844923091-embedded-software-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/Arrow-Tech-Associates,-Inc./Job/Senior-Software-Engineer/-in-Washington,DC?jid=c0db633ed621f666&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | WayUp: https://www.wayup.com/i-j-Embedded-Software-Engineer-LaBine-and-Associates-860068704474920/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Monster: https://www.monster.com/job-openings/embedded-software-engineer-washington-dc--0ae7d1fc-5a12-453e-9b9f-4ed020cb1a3d?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | SaluteMyJob: https://salutemyjob.com/jobs/embedded-software-engineer-washington-washington-dc/1496527864-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | BeBee: https://us.bebee.com/job/a2bf81f277f79a1f4cd0928a94fe10fe?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobs.com: https://www.jobs.com/en-us/jobs/embedded-software-engineer-washington-dc--0ae7d1fc-5a12-453e-9b9f-4ed020cb1a3d?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,Junior Software Engineer (SWE1),RTX,"Annapolis Junction, MD","Date Posted:
2024-08-22

Country:
United States of America

Location:
MD233: 420 National Business Parkway 420 National Business Parkway Suite 400, Annapolis Junction, MD, 20701 USA

Position Role Type:
Onsite

You have been redirected to RTX’s career page as we have recently transitioned from RTX to become a standalone company, which provides us with greater autonomy and opportunities for growth. As a prospective employee of Nightwing, you’ll have the chance to contribute to our continued succe...",2 days ago,2024-11-19,"RTX Careers: https://careers.rtx.com/global/en/job/01722782/Junior-Software-Engineer-SWE1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/junior-software-engineer-swe1-at-nightwing-4012929706?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | ZipRecruiter: https://www.ziprecruiter.com/c/Raytheon-Technologies/Job/Junior-Software-Engineer-(SWE1)/-in-Annapolis-Junction,MD?jid=569472d704a5a9b7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | JSfirm.com: https://www.jsfirm.com/Engineering/Junior+Software+Engineer+(SWE1)/Annapolis+Junction-Maryland/jobID_1459201?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | The Muse: https://www.themuse.com/jobs/rtx/junior-software-engineer-swe1?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | SimplyHired: https://www.simplyhired.com/job/JTq5OpI-Ra8kGZOr7HFCn0hUqc_v7i9-e2tVF3zZV8jpwqY3Q8yK8A?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=7788359fb249c28c&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Cleared Careers: https://clearedcareers.com/job/533904/junior-software-engineer-swe1/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,Software Engineer (Entry Level)- DEVx,Base-2 Solutions,"Fort Meade, MD","Required Security Clearance:

Top Secret/SCI with Full Scope Polygraph

City:

Fort Meade

State/Territory:

Maryland

Travel:

None

Potential for Teleworking:

No

Schedule:

Full Time

DoD 8570 IAT Requirement:

None

DoD 8570 IAM Requirement:

None

DoD 8570 IASAE Requirement:

None

DoD CSSP Requirement:

None

Last Updated:

11/19/24 8:46 PM

Requisition ID:

740542

US Citizenship Required?:

Yes

Pay Range:

$93,975.90 to $125,301.20

Description:
• The Software Engineer develops, mainta...",9 days ago,2024-11-12,"Glassdoor: https://www.glassdoor.com/job-listing/software-engineer-entry-level-devx-base-2-solutions-JV_IC1165756_KO0,34_KE35,51.htm?jl=1009526486315&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=9985dcb549f797b1&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Monster: https://www.monster.com/job-openings/software-engineer-entry-level-devx-fort-george-g-meade-md--954a3a9a-c36b-46d5-9586-64d1664768cd?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Remotely WFH Jobs: https://getjob.allexamsolution.com/job/software-engineer-entry-level-devx/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Hiringpros: https://hiringpros.online/job/software-engineer-entry-level-devx/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Rmtrecruit: https://rmtrecruit.online/job/software-engineer-entry-level-devx/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Getjob.topsiksha: https://getjob.topsiksha.com/job/software-engineer-entry-level-devx/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
software engineer,Software Engineer - Production,Applied Intuition,"Washington, DC","About the role

Modern autonomous system development is heavily reliant on daily, realistic, and large scale simulations to test constant software changes. Join our cloud platform team to ensure we're building efficient and reliable systems for managing these large-scale workloads.

As a production engineer you'll be improving the development and deployment of our large-scale simulation infrastructure. The compute and data generation scale of our product workloads pushes the boundaries of standa...",N/A,N/A,Greenhouse: https://boards.greenhouse.io/appliedintuition/jobs/4279604005?gh_jid=4279604005&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Indeed: https://www.indeed.com/viewjob?jk=f9f89dd6cfb3c7b8&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | SitePoint: https://www.sitepoint.com/jobs-for-developers/synergisticit/software-engineer-entry-junior-935464/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | LinkedIn: https://www.linkedin.com/jobs/view/software-engineer-production-at-applied-intuition-3686158754?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | SHI Jobs: https://shi.dejobs.org/washington-dc/sr-software-engineer-hris/B64C5EC684784071BB9551F247C8781A/job/?utm_source=American+Job+Center-DE&utm_medium=NLX&utm_campaign=American+Job+Center&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jooble: https://jooble.org/jdp/455797147952538230?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Adzuna: https://www.adzuna.com/details/4919052980?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Ladders: https://www.theladders.com/job/software-engineer-usds-tiktok-washington-dc_72634217?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,Space Principal/Sr. Principal Software Engineer Jobs,Northrop Grumman,"Fairfax, VA","Requisition ID: R10173475
• Category: Engineering
• Location: Fairfax, Virginia, United States of America
• Clearance Type: Secret
• Telecommute: Yes-May consider hybrid teleworking for this position
• Shift: Days (United States of America)
• Travel Required: Yes, 10% of the Time
• Relocation Assistance: Relocation assistance may be available
• Positions Available: 1
At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives aroun...",3 days ago,2024-11-18,Clearance Jobs: https://www.clearancejobs.com/jobs/8058442/space-principalsr-principal-software-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
software engineer,"Senior Full Stack Software Engineer (.NET, Secret Clearance, Washington DC))",Improvix Technologies,"Washington, DC","Role: Senior Full Stack Software Engineer (.NET)

Location: Washington, DC (Hybrid - 2 days on site)

Type: Full Time

Clearance: Secret Clearance (Top Secret Eligible)

Overview

We are looking for bright, enthusiastic, and motivated team players that are excited about Microsoft technology, and who want to help us solve problems and deliver value for high-profile, federal clients. We have openings for .NET and SharePoint Developers supporting our US Department of State program. As a .NET or Sha...",N/A,N/A,"LinkedIn: https://www.linkedin.com/jobs/view/senior-full-stack-software-engineer-net-secret-clearance-washington-dc-at-improvix-technologies-3983587587?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jooble: https://jooble.org/jdp/8192210409571617575?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Adzuna: https://www.adzuna.com/details/4795357839?title=Senior_Full_Stack_Software_Engineer_(.NET,_Secret_Clearance,_Washington_DC))&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Recruit.hirebridge.com: https://recruit.hirebridge.com/v3/CareerCenter/v2/details.aspx?cid=8058&jid=642452&locvalue=1011&request_id=924300&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Monster: https://www.monster.com/job-openings/senior-full-stack-software-engineer-net-secret-clearance-washington-dc-washington-dc--e63d80b6-3b48-4f32-adb1-76fcd25f2531?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Ladders: https://www.theladders.com/job/senior-full-stack-software-engineer-dot-net-improvix-technologies-washington-dc_74464136?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | BeBee: https://us.bebee.com/job/d13f26c4a3c77a49176435cc350d6c56?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic | Jobrapido.com: https://us.jobrapido.com/jobpreview/1979760132799594496?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
